재료_아이디,재료_이름,제철,보관온도,100g당 열량,잘맞는 음식,안맞는 음식,효능,구입요령,손질법,조리법,보관법,설명
424,백미,연중제철,10~15℃,363Kcal,콩,,소화촉진,알이 고르고 완정하며 냄새가 나지 않는 것이 좋다.,흐르는 물에 여러법 씻어 사용한다.,"주로 밥으로 먹고, 한과나 식혜 전통 디저트등에 사용 된다.",직사광선을 피해 서늘한 곳에 보관한다.,
425,소고기앞다리,연중제철,0~5℃,170Kcal,,,"면역력증가, 빈혈예방, 감기예방","등급을 확인하고, 살은 선홍색이며 지방은 흰 것이 좋다.",용도에 맞게 잘라 사용한다.,"육회, 불고기, 국거리, 구이 등으로 사용한다.","단기간 보관시 냉장, 장기간 보관시 냉동보관한다.",
426,북어,1~3월,18~22℃,290Kcal,,,"숙취해소, 간보호",살은 누렇고 두꺼우며 부드러운 것이 좋다.,"머리와 아가미, 꼬리 등 먹지 못하는 부분을 잘라 사용하고, 살은 물에 적신 후 헹주나 거즈로 덮어 두드린 후 부드러운 살을 조리하는데 사용한다.","국, 탕, 조림, 무침 등으로 다양하게 사용한다.","직사광선을 피해 보관하고, 녹차와 함께 보관하는 것이 좋고, 통풍이 잘 되며, 건냉한 곳에 보관한다.",
427,북어포,1~3월,18~22℃,346Kcal,미나리,,"숙취해소, 위건강, 이뇨작용",살은 누렇고 두꺼우며 부드러운 것이 좋다.,스프레이로 물을 뿌려 살이 연해진 후 사용한다.,"조림, 국, 탕 등 다양하게 사용할 수 있다.","직사광선을 피해 보관하고, 녹차와 함께 보관하는 것이 좋고, 통풍이 잘 되며, 건냉한 곳에 보관한다.",
431,팔각,3~5월,,,"돼지고기, 오리고기",,"이뇨작용, 식욕증진, 소화촉진, 혈액순환, 변비, 방광염",유통기한을 확인하고 구매한다.,,"특유의 향으로 돼지고기, 오리고기의 잡내를 없애주고 소스로 활용하기도 한다.",직사광선을 피해 서늘한 곳에서 상온 보관한다.,
435,비름,3~4월,0~5℃,30Kcal,참기름,,"칼슘보충, 다이어트, 식욕증진",부드럽도 연한 것이 좋다.,깨끗이 씻어 사용한다.,데쳐 나물무침으로 먹는다.,수분이 있어야 하기에 밀봉하여 냉장보관한다.,
436,포도씨유,연중제철,18~22℃,884Kcal,,,"피부미용, 노화방지, 여성질환개선, 콜레스테롤저하",침전물이 없고 냄새가 나지 않으며 유통기한을 확인하고 구매한다.,바로 사용가능하다,"주로 튀김, 전, 부침 등 높게 가열하는 음식에 사용한다.",직사광선은 피하고 밀봉하여 서늘한 곳에서 보관한다.,
437,비엔나소세지,연중제철,0~5℃,300Kcal,,,열랑보충,유통기한을 확인하고 구매한다.,데쳐 사용하거나 바로 사용한다.,"구워먹거나 볶음,찌개, 샌드위치 등에 다양하게 사용된다.","개봉 한 것은 빠른 시일 내에 섭취하고, 냉장/냉동보관한다.",
438,비지,연중제철,0~5℃,74Kcal,김치,,"다이어트, 결핵예방, 면역력강화, 골다공증예방, 갱년기완화",유통기한을 확인한다.,찌개에 바로 넣어 사용한다.,찌개나 전으로 활용가능하다.,쉽게 상하기 때문에 개봉 후 바로 사용한다.,
440,빵가루,연중제철,1~5℃,380Kcal,,,,유통기한과 포장상태를 확인하고 구입한다.,"구입한 것을 바로 사용하거나, 마른 식빵이나 바게트빵을 분쇄하여 사용한다.",주로 육류나 해산물의 튀김으로 사용한다.,직사광선을 피해 그늘지고 서늘한 곳에 보관한다.,
445,라면,연중제철,18~22℃,445Kcal,,,,유통기한을 확인하고 많이 부서지지 않은 것을 구입한다.,끓는 물에 끓여 사용한다.,"주로 라면을 먹거나, 찌개, 국 등에 추가하여 같이 먹기도 한다.",직사광선을 피해 서늘한 곳에 보관한다.,
446,사이다,연중제철,1~5℃,39Kcal,,,소화촉진,유통기한을 확인하고 용기상태를 확인한 후 사용한다.,바로 따서 사용할 수 있다.,그냥 마시거나 소스나 양념장에 첨가하여 사용할 수 있다.,직사광선을 피해 냉장보관한다.,
448,강황,4~6월,,354Kcal,,,"간기능강화, 통증완화, 월경불순 효능, 소염, 항균",노란색을 띠고 단단한 것이 좋다.,껍질을 깎아 말려 가루를 내서 사용한다.,"보통 가루를 사용하여 카레를 만들거나, 착색작용을 활용하여 읨식의 노란색을 내는데 활용한다.",직사광선을 피해 서늘한 곳에서 상온보관한다.,
451,페페론치노고추,연중제철,,,,,,유통기한을 확인하고 구매한다.,바로 사용가능하다.,"파스타나 볶음 요리에 다수 사용되고, 이 외 매운맛이 필요할 때 사용한다.",밀봉하여 직사광선을 받지 않는 건냉한 곳에서 보관한다.,
453,아구,12~2월,-20℃~0℃,63Kcal,무,,"성장촉진, 피부미용, 다이어트",색이 검으며 만졌을 때 단단하고 냄새가 나지 않는 것이 좋다.,"몸에 있는 점질물들을 씻어내고 배를 갈라 내장을 분리하고 머리를 분리하고 지느러미, 껍질을 제거한다.",주로 찜이나 탕으로 섭취하며 내장 포함 거의 모든 것을 재료로 활용할 수 있다.,깨끗이 세척한 후 용기에 담아 냉동 보관한다.,
456,새우액젓,연중제철,1~5℃,38Kcal,,,,용기와 유통기한을 확인하고 구입한다.,바로 사용한다.,간을 맞출 때 소금 대신 사용해도 되며 깊은 맛이 난다.,뚜껑을 잘 닫은 후 직사광선을 피해 서늘한 곳에 보관한다.,
457,감초,연중제철,0~5℃,11Kcal,생강,,"해독효과, 숙취해소","국산이 좋으며, 줄기가 넓고 나무색이 선명한 것이 좋다.",흐르는 물에 씻어 사용한다.,주로 약재로 많이 사용한다.,밀봉하여 건냉한 곳에 보관한다.,
459,생강가루,연중제철,-20~0℃,347Kcal,,,,유통기한을 확인하고 구입한다.,바로 사용가능하다.,육류에 활용하여 소스로 먹거나 제과제빵에 사용하기도 한다.,냉동보관한다.,
460,건블루베리,"7월, 8월, 9월",1~5℃,57Kcal,요구르트,,"노화 억제, 변비 예방, 개선, 시력 개선, 암 예방",껍질이 거무스름하게 익은 것. 알이 굵고 납작한 것이 단맛과 신맛이 조화를 이루어 맛있다. 표면에 흰 가루가 있는 것이 신선하다.,흐르는 물에 여러 번 씻는다.,"잼, 과일샐러드, 케이크 등의 디저트에 사용한다.",밀폐용기나 비닐팩에 넣어 냉장고 채소실에 보관하거나 냉동보관.,
461,다진생강,"8월, 9월, 10월, 11월",0~5℃,53Kcal,회,,"콜레스테롤저하, 항암효과, 면역력","단단하고 크며, 발이 굵고 넓은 것을 선택한다",깨끗이 씻어 껍질을 벗겨 사용한다,특유의 향과 매운맛이 있어 비린내를 없애거나 잡내를 제거할 때 사용한다,오랫동안 보관해야 할 경우 흙이 묻어 있는 채로 신문지에 싸서 신선실에 보관한다,
462,생강즙,연중제철,1~5℃,,,,"콜레스테롤저하, 항암효과, 면역력",유통기한을 확인하고 구입한다.,바로 사용가능하다.,"바로 마시거나, 차로 먹을 수도 있으며, 비린내를 제거하고 소스로도 활용할 수 있다.",잘 밀폐하여 직사광선이 닿지 않는 곳에 보관하거나 냉장보관한다.,
463,생강청,연중제철,0~5℃,,,,"콜레스테롤저하, 항암효과, 면역력","구입한 것은 유통기한을 확인하고 구매하고, 생생한 생강을 채썰어 설탕에 절여 사용해도 된다.","생강과 설탕으로 만들어 사용하거나, 구입해서 바로 사용 할 수 있다.",차로 먹거나 생선 비린내를 잡을 때 사용하기도 한다.,밀봉하여 냉장보관한다.,
464,건포도,연중제철,-20~0℃,277Kcal,과일,,"여성질환, 골다공증예방, 빈혈예방, 변비해소",유통기한을 확인하고 구입한다.,바로 사용 가능하다.,"그냥 먹거나 빵, 디저트류 혹은 샐러드에 사용한다.",밀봉 후 냉동보관한다.,
465,골뱅이,연중제철,1~5℃,86Kcal,오이,,"다이어트, 피부노화방지",살아있으며 탱탱하고 묵직한 것이 좋다.,살을 빼내에 배를 갈라 내장을 제거하고 뜨거운물에 담갔다 차가운 물에 헹군다.,쫄깃한 맛 때문에 주로 초무침으로 먹으며 조림으로도 활용된다.,통조림일 경우 개봉 후 골뱅이를 씻어 다시 용기에 담아 보관한다.,
466,건표고버섯,3월~9월,10~15℃,282Kcal,쇠고기,,"골다공증 예방, 동맥경화 예방, 고지혈 증예방, 항암효과, 다이어트","갓 부분의 색깔이 짙은 갈색을 띠며, 표면은 균열이 나 있는 것이 좋다.",사용 전에는 미지근한 물에 불려서 사용한다.,"씹는 맛이 좋아 조림, 볶음, 구이 등으로 사용할 수 있고, 표고를 불린 물은 버리지 않고 맛국물 만들 때 사용할 수 있다.",밀봉하여 보관하고 건조하고 서늘한 곳에 보관하여야 한다.,
469,겨자,2~3월,,438Kcal,"소시지, 육류",,"소화촉진, 진통, 항암효과, 류머티즘, 신경통",유통기한을 확인하고 사용한다.,,알갱이 또는 가루를 물에 개어 소스나 드레싱으로 사용한다.,직사광선을 피해 서늘한 곳에서 상온 보관한다.,
471,치킨스톡,연중제철,1~5℃,5Kcal,,,,유통기한을 확인하고 구입한다.,물에 끓여 풀어질 때 까지 두고 사용한다.,"끓인 물은 육수처럼 스프, 스튜 등으로 다양하게 활용할 수 있다.",냉장보관한다.,
473,카놀라유,연중제철,18~22℃,884Kcal,당근,,"노화방지, 콜레스테롤저하, 고혈압예방",침전물이 없고 투명한 것이 좋으며 유통기한을 확인한다.,바로 사용 가능하다.,"고온 요리에 사용이 적합하고, 튀김요으로 많이 사용한다.",직사광선은 피하고 밀봉하여 서늘한 곳에서 보관한다.,
474,카레,연중제철,0~5℃,356Kcal,와인,,"항암효과, 두뇌건강, 성인병 예방, 혈액순환, 변비해소, 장운동활발",포장상태와 유통기한을 확인하고 구매한다.,국내 시판 중이 카레는 대부분 전분이 같이 있어 농도를 만드는 역활을 한다. 따뜻한 물에 녹인다.( 가루의 경우 체에 내리면 더 좋다.),"카레를 만들거나 조림, 국, 반죽이나 튀김에도 활용할 수 있다.",밀봉하여 직사광선을 피해 그늘지고 서늘한 곳에 보관한다.,
475,계피가루,9~12월,18~22℃,311Kcal,수정과,,"식욕증진, 진통, 생리불순, 생리통","향이 강하고, 두껍고 크며 자홍색을 띤 것이 가장 좋다.",스틱형과 가루형이 있는데 가루형은 그대로 사용하면 되지만 스틱형의 경우 껍질을 칼로 긁어내 씻어 사용해야 한다.,"특유의 청량감과 단맛으로, 주로 디저트나 차, 과일절임에도 사용이 된다.","스틱의 경우 곰팡이를 방지하기 위해 건조한 곳에, 가루의 경우 건조하고 서늘한 곳에 보관한다.",
477,고추장,연중제철,10~15℃,180Kcal,,,"소화기능촉진, 비만예방","태양초 함량이 많고, 고춧가루함량이 높고, 함성보존료가 사용되지 않았으며 물엿대신 올리고당, 식이섬유를 첨가한 고추장이 좋다. 유통기한을 확인하고 매운맛을 확인하고 구매한다.",바로 사용가능하다.,"국, 탕, 찌개, 찜 등 양념이나 소스로 다양하게 활용된다.",밀봉하여 직사광선이 닿지 않는 서늘한 곳에 보관하거나 냉장보관한다.,
479,골뱅이통조림,연중제철,0~5℃,100Kcal,,,"피부미용, 단백질보충",포장용기와 유통기한을 확인하고 구입한다.,건져내어 한 번 헹구고 사용한다.,"무침으로 먹는 것이 일반적이고 조림, 술안주로 활용된다.","개봉한 통조림은, 골뱅이건져내어 물에 헹궈 밀폐하여 다시 냉장보관한다.",
480,흑임자,연중제철,-20~0℃,565Kcal,연근,,"노화방지, 피부미용",알 크기가 고르고 윤이 흐르는 것이 좋다.,흐르는 물에 씻어 이물질 등을 제거하고 볶아서 사용한다.,우유나 두유와 갈아 마시거나 죽으로 먹기도 한다. 장식용으로 뿌리기도 하고 가루를 내어 사용하기도 한다.,직사광선을 피하고 밀봉하여 냉동보관한다.,
481,굴소스,연중제철,1~5℃,107Kcal,,,,유통기한과 포장용기를 확인하고 구입한다.,"구입한 것일 경우 바로 사용가능하며, 만들어 사용할 수 도 있다.","볶음밥이나 새로운 소스,조림을 할 때 사용한다.",밀폐하여 직사광선을 피해 그늘지고 서늘한 곳에 보관한다.,
482,흑설탕,연중제철,0~5℃,388Kcal,"커피,약식,약과",토마토,,덩어리 지지 않고 잘 밀봉되어 있는 것을 구입한다.,바로 사용 가능하다.,색이 있는 재료기 때문에 색이 갈색 색을 내는 요리에 단 맛으로 첨가할 수 있다.,밀폐하여 서늘하고 그늘 진 곳에 보관한다.,
483,꽁치통조림,연중제철,0~5℃,236Kcal,,,"두뇌발달, 성장촉진, 항산화효과",포장용기와 유통기한을 확인하고 구매한다.,꽁치만 건져 바로 사용할 수 있다.,주로 찌개나 조림에 사용된다.,개봉 후 빨리 섭취하거나 밀봉하여 냉장보관한다.,
484,꽃게,연중제철,-20~0℃,74Kcal,감,,"고혈압예방, 콜레스테롤저하, 다이어트",들었을 때 묵직한 것과 팔 다리가 활발하게 움직여야 한다.,"솔로 몸통을 깨끗이 씻어 배딱지와 모래주머니, 입, 아가미등을 떼고 사용한다.",쪄서 먹거나 탕에 넣어 시원한 국물을 내 먹기도 한다.,용기에 담아 냉장/냉동 보관한다.,
486,날치알,연중제철,-20~0℃,96Kcal,알밥,,"성장촉진, 다이어트",겨울철 날치알이 싱싱하고 좋다,흐르는 물에 씻어 물기를 제거한 후 청주나 화이트와인에 담가 비린 맛을 제거한다.,톡톡 터지는 맛이 있어 알밥이나 원하는 곳에 첨가하여 먹는다.,냉동실에 보관하며 먹기 전에 해동한다.,
487,백설탕,,,387Kcal,,토마토,에너지원,"봉지가 뜯어지지 않았는지, 덩어리 지지 않았는지 확인한다.",바로 사용 가능하다.,"색이 없고, 단 맛을 원할 때 첨가한다.",직사광선을 피해 서늘하고 건조한 곳에서 보관한다.,
488,데리야끼소스,연중제철,0~5℃,89Kcal,,,,유통기한과 포장용기를 확인하고 구입한다.,바로 사용가능하다.,일식이나 조림류에 많이 사용한다.,밀폐하여 직사광선을 피해 그늘지고 서늘한 곳에 보관한다.,
489,생크림,연중제철,0~5℃,244Kcal,빵,,,포장용기와 유통기한을 확인하고 구매한다.,바로 사용 가능하다.,"설탕을 추가하여 휘핑하여 생크림을 만들거나, 소스나 스프에 첨가하여 깊은 맛을 낸다.",밀봉하여 냉장보관 한다.,
491,돼지고기,연중제철,0~5℃,120Kcal,,,"피로회복, 스트레스완화","살은 담홍색이고, 지방은 백색이며 고기결이 부드럽고 윤이 나며 탄탄한 것이 좋다.",물에 헹궈 이물질 제거 후 키친타올에 물기를 제거하고 용도에 맞게 사용한다.,"잡내가 나기 쉬워 생강이나 마늘 등 냄새를 제거하는 재료와 함께 사용하고, 구이, 찜, 탕, 국, 찌개 등으로 다양하게 사용할 수 있다.","단기간 보관시 냉장, 장기간 보관시 냉동보관한다.",
493,두반장,연중제철,1~5℃,239Kcal,,,성인병예방,유통기한을 확인하고 구매한다.,바로 사용한다.,"주로 중국요리를 할 때 사용하는 것으로, 마파두부나 대콤한 볶음요리를 할 때 사용하면 좋다.",직사광선을 피해 그늘지고 서늘한 곳에 보관한다.,
496,딸기잼,연중제철,1~5℃,254Kcal,,,피로회복,유통기한을 확인하고 구입한다.,바로 사용가능하다.,빵이나 디저트에 발라 먹거나 활용할 수 있다.,직사광선을 피해 그늘지고 서늘한 곳에 보관한다.,
498,파인애플통조림,연중제철,0~5℃,70Kcal,,,"피로회복, 감기예방",포장용기를 확인하고 유통기한을 확인하고 섭취한다.,"국물은 버리거나 조금 모아서 사용하고, 알맹이만 집어 사용한다.",샐러드나 디저트 등으로 사용한다.,개봉 후 빨리 섭취하거나 밀봉하여 냉장보관한다.,
499,소고기,연중제철,-20~0℃,126Kcal,무,,"면역력증가, 빈혈예방, 감기예방, 골다공증예방",단단하고 결이 고우며 선홍빛을 내는 것이 좋다. 지방색이 노란 것은 피한다.,"고기를 자를 때 고기결과 직선으로 잘라야 질기지 않으며, 뼈와 함께 있는 고기는 핏물을 제거하고 사용한다. 냉동 고기는 사용하기 몇 시간 전 상온에 꺼내어 놓아 해동하고 사용해야 한다.","국, 탕, 찌개, 찜, 스튜, 구이, 회 등 다방면으로 사용 가능하다.","단기간 보관시 냉장, 장기간 보관시 냉동보관한다.",
500,단무지,연중제철,0~5℃,18Kcal,,,"식욕증진, 소화촉진",유통기한을 확인하고 변질 된 곳이 없는지 확인하고 구매한다.,바로 사용가능하다,"그냥 섭취하거나 김밥의 속재료, 볶음밥 등 다양하게 활용할 수 있다.",밀폐하여 냉장보관한다.,
501,소금,연중제철,15~25℃,,,,,포장에 손상이 있는 것은 지양하고 곰팡이나 이물질이 있는지 확인한다.,바로 사용 가능하다.,간을 맞추거나 짠 맛이 필요할 때 사용한다.,직사광선을 피한 그늘 진 곳에 보관한다.,
502,순두부,연중제철,0~5℃,55Kcal,김치,,"다이어트, 고혈압예방, 뇌질환예방, 심장질환예방, 콜레스테롤저하",포장용기와 유통기한을 확인한다.,찌개에 바로 넣어 사용가능하다.,보통 국이나 찌개에 활용한다.,개봉 후 바로 사용한다.,
504,옥수수통조림,연중제철,0~5℃,91Kcal,,,,포장용기와 유통기한을 확인하고 구매한다.,바로 사용가능하다.,"주로 샐러드나 콘치즈, 스프, 샌드위치 속재료 등으로 활용하고 다양하게 사용할 수 있다.",직사광선은 피하고 밀봉하여 서늘한 곳에서 보관한다.,
506,시래기,연중제철,-20~0℃,47Kcal,된장,,"동맥경화예방, 당뇨예방, 다이어트, 변비해소",줄기가 연하고 푸르스름한 것이 좋다.,데쳐서 물기를 싸고 사용한다.,"국, 무침, 탕, 찜, 조림 등 다양하게 사용된다.",냉동보관하거나 말려서 보관한다.,
507,식빵,연중제철,-20~0℃,284Kcal,과일잼,,에너지보충,"유통기한을 확인하고, 수증기가 있거나 곰팡이가 핀 것은 구매하지 않는다.",바로 섭취가능하다.,"과일 잼을 발라먹거나, 샌드위치, 토스트 등으로 먹는다.","유통기한을 준수하고, 여의치 않으면 냉동보관한다.",
508,식용유,연중제철,18~22℃,884Kcal,,,,유통기한을 확인하고구매한다.,바로 사용가능하다.,"튀김, 전, 부침 등 물을 첨가하지 않고 가열하는 음식에 다양하게 사용가능하다.",직사광선은 피하고 밀봉하여 서늘한 곳에서 보관한다.,
509,실파,9~12월,1~5℃,16Kcal,식용유,,"감기예방, 피로회복, 변비해소",잎이 유연하고 보드라운 것이 좋다.,흐르는 물에 헹궈 사용한다.,주로 파강회나 전으로 사용하고 무쳐먹기도 한다.,손질 후 썰어 냉동보관한다.,
510,쑥,연중제철,1~5℃,84Kcal,쌀,,"부인병치료, 다이어트, 체질개선, 위장병치료",어린 쑥이 좋으며 부드러운 잎이 좋다.,"밑둥을 자르고, 소금물에 헹궈 사용한다.","국, 탕 등에 다양하게 사용 되는데, 먹기도 먹지만 뜸, 목욕 등 다양한 방식으로 사용 된다.",삶아 냉동보관하거나 수분을 남겨두어 통풍이 잘 되는 곳에 보관한다.,
512,피클링스파이스,연중제철,10~15℃,,,,,유통기한을 확인하고 구매한다.,바로 사용가능하다.,피클을 담을 때 주로 사용한다.,잘 밀봉하여 직사광선이 닿지 않는 서늘한 곳에서 보관한다.,
515,소고기우둔살,연중제철,0~5℃,132Kcal,채소,,"다이어트, 혈액정화",살이 단단하고 수분이 많이 나지 않으며 선홍색인 것이 좋다.,핏물을 제거하고 살결의 수직으로 썰어 사용한다.,"국, 육포, 산적, 장조림, 샤브샤브 등에서 사용한다.","단기간 보관시 냉장, 장기간 보관시 냉동보관한다.",
516,소고기채끝,연중제철,0~5℃,126Kcal,,,"근력생성, 위장보호","선홍색 빛이 나고 지방은 희며, 육즙이 많이 베어나오지 않고 탄탄한 고기가 좋다.",행주로 물기를 닦고 사용하거나 물에 담궈 핏물을 제거하고 사용할 수 있다.,"스테이크용, 갸브갸브, 불고기 등으로 사용할 수 있다,","단기간 보관시 냉장, 장기간 보관시 냉동보관한다.",
518,핫소스,연중제철,10~15℃,11Kcal,,,다이어트,유통기한을 확인하고 구입한다.,바로 사용가능하다.,피자나 빵에 매콤한 맛을 첨가하고 싶을 때 사용한다.,뚜껑을 닫고 직사광선을 피해 서늘한 곳에서 보관한다.,
519,칠리소스,연중제철,1~15℃,20Kcal,,,식욕촉진,유통기한을 확인하고 구입한다.,바로 사용가능하다.,"주로 튀김요리에 사용하며, 중화요리에 많이 사용된다.",밀봉하여 냉장보관한다.,
522,해파리,8~9월,1~5℃,6Kcal,오이,,"피부미용, 다이어트",냉장유통되고 탱탱하면서 특유의 냄새가 있는 것이 좋다.,"염장 되어 있는 해파리를 찬물에 여러번 씻어 소금끼를 빼준 후, 뜨거운 50도 정도의 물에 잠시 데쳐준다. 다시 찬물로 헹구고 사용하면 된다.",주로 냉채무침이나 초무침으로 이용한다.,손질 된 해파리를밀봉하여 냉장보관한다.,
523,허니머스터드,연중제철,10~15℃,464Kcal,육류,,,용기의 상태와 유통기한을 확인하고 구입한다.,바로 사용가능하다.,구운 육류요리에 어울리며 상큼하고 매콤한 것이 어울리는 요리에 소스로 첨가하기도 한다.,직사광선을 피하고 서늘하고 그늘진 곳에 보관한다.,
524,갯나물,3~5월,0~5℃,48Kcal,된장,,"위장병예방, 궤양치유, 피로회복",파릇파릇하고 싱싱한 것이 좋으며 흐물한 것은 좋지 않다.,"흐르는 물에 씻은 후, 뿌리째 끓는 물에 데쳐 사용한다.",주로 무침으로 사용한다.,"손질 후 밀봉하여 냉장보관하거나, 그렇지 않을 경우 신문을 둘러 서늘한 곳에 보관한다.",
527,소면,연중제철,0~5℃,358Kcal,,,열랑보충,유통기한을 확인하고 면이 붙어 있는 것은 구매하지 않는다.,끓는 물에 삶아 사용한다.,"주로 국수류를 먹을 때 면으로 사용하며, 무침, 비빔, 국, 탕 등 다양하게 사용한다.",밀봉하여 건냉한 곳에 보관한다.,
529,화이트초콜릿,연중제철,10~15℃,539Kcal,,,,유통기한을 확인하고 구입한다.,바로 사용가능하다.,"바로 섭취가능하지만, 중탕하여 재가공하거나 다른 디저트에 첨가할 수 있다.","밀봉하여 직사광선은 피하고, 건냉한 곳에 보관한다.",
530,황설탕,연중제철,0~5℃,385Kcal,,토마토,,포장에 이상이 없는지 확인하고 덩어리 지지 않은 것을 구입한다.,바로 사용 가능하다.,디저트용으로 많이 사용한다.,사용 후 밀봉하여 서늘한 곳에 보관한다.,
531,황태,연중제철,18~22℃,377Kcal,계란,,"숙취해소, 간기능회족, 시력보호",살이 억세지 않고 연하며 누런 것이 좋다.,"통으로 샀을 경우, 방망이로 두들겨 불려 뼈를 발라내고 사용한다.","주로 국으로 먹지만, 찜,구이, 조림, 전 등으로 다양하게 활용할 수 있다.",냉동보관하거나 밀봉하여 건냉한 곳에 보관한다.,
532,후리카케,,,,밥,,,유통기한을 확인한다.,"김, 깨, 소금, 채소, 기호에 따라 해조류를 잘게 다진 후, 기름은 넣지 않고 수분이 날아 갈 때 까지 약한 불에 볶는다. 체에 말린 후 다시 곱게 갈아주면 된다.","밥과 함께 바로 섞어먹거나 주먹밥, 볶음밥으로 사용할 수 있다. 계란말이에도 활용가능하다.",직사광선을 피하고 밀봉하여 건조한 곳에 보관한다.,
534,홍삼진액,연중제철,1~5℃,,,,"당뇨치유, 고혈압치유, 심혈관질환예방, 뇌질환예방, 항암효과",유통기한을 확인하고 구입한다.,바로 사용한다.,주로 그냥 먹지만 다른 음료나 요리에 추가해도 된다.,밀봉하여 직사광선이 닿지 않는 서늘한 곳에 보관한다.,
537,홍어,11~4월,-20~0℃,87Kcal,막걸리,,"관절염예방, 다이어트, 숙취해소",주둥이가 짧으며 살이 단단한 것이 좋다.,"물기는 마른행주로 닦고, 내장과 코, 꼬리를 제거하고 날개부분을 자른다.","삭혀 먹거나 찜, 회, 조림, 탕 등으로 사용할 수 있다.",손질한 홍어는 밀봉하여 냉동 보관한다.,
538,홍차,연중제철,10~15℃,3Kcal,,,"항산화효과, 뇌졸증예방, 항암효과, 콜레스테롤저하, 항염, 비만예방, 당뇨예방, 소염",유통기한을 확인하고 구입한다.,바로 사용한다.,"차로 마시면 티백에 담거나 하여 우려마시고, 이 외의 음식에 첨가할 땐 가루를 내어 사용하거나 진하게 우린물을 사용한다.",밀봉하여 직사광선이 닿지 않는 건조하고 서늘한 곳에 보관한다.,
539,허브솔트,,,,스테이크,,,유통기한을 확인하고 이물질이 없는 것으로 구매한다.,"각종 허브와 양념, 그리고 소금을 섞어 만든다.",양념이 된 소금이기 때문에 바베큐용 고기나 스테이크 시즈닝으로 좋다.,직사광선은 피하고 서늘한 곳에서 보관한다.,
542,현미식초,연중제철,1~5℃,19Kcal,생채,,"피로회복, 다이어트","용기가 부풀거나 손상이 있는 것은 지양하고, 유통기한을 확인한다.",바로 사용 가능하다.,무침요리에 많이 사용한다.,직사광선을 피하고 서늘한 곳에 보관한다.,
543,호박고구마,8~10월,10~22℃,154Kcal,김치,,"변비해소, 다이어트, 피부미용, 고혈압예방",속은 노랗고 먹었을 때 가루지며 달콤한 것이 좋다.,흙을 씻어내어 껍질을 벗겨 사용한다.,"쪄서 바로 먹거나 전, 튀김 등 다양한 요리에 활용가능하다.",물기를 닦고 그늘지고 서늘한 곳에 보관한다.,
544,꽃소금,연중제철,18~22℃,21Kcal,,우유,,"불순물이 없고, 알갱이가 곱게 부서지는 것이 좋다.",바로 사용 가능하다.,저염도 소금이라 간을 맞추거나 맛을 낼 때 사용한다.,직사광선은 피하고 건조한 곳에 보관한다.,
545,녹차가루,연중체절,0~5℃,381Kcal,,,"다이어트, 성인병예방, 지방분해, 콜레스테롤저하, 동맥경화예방",유통기한을 확인하고 구매한다.,바로 사용가능하다.,"반죽에 넣어 사용하거나 우린을 사용해 밥을 만들고, 잡내를 없앨 수 있다.",직사광선이 닿지 않게하고 냉장보관하거나 서늘한 곳에 보관한다.,
546,다크초콜릿,연중제철,1~5℃,524Kcal,,,"심장병예방, 동맥경화예방, 혈압강하, 스트레스해소","카카오 함량이 85%이상인 것이고, 유통기한을 확인하고 쓴 맛이 남는 것이 좋다.",바로 섭취가능하다.,"바로 먹는것이 일반적이고, 녹여서 재가공하거나 제과제빵의 속재료로 사용하기도 한다.",직사광선이 닿지 않게하고 냉장보관하거나 서늘한 곳에 보관한다.,
547,통깨,연중제철,-20~0℃,578Kcal,두유,,"노화방지, 동맥경화예방, 골다공증예방",알이 고르고 냄새가 나지 않은 것이 좋다.,흐르는 물에 여러번 헹구고 채에 걸러 이물질을 걸러낸다. 그리고 볶아서 사용한다.,"우유와 갈아 마시거나, 요리의 마무리에 사용한다.",냉동보관한다.,
549,천일염,연중제철,18~22℃,20Kcal,깨,,,알이 고르고 반 투명한 것이 좋다.,이물질을 걸러내고 사용하는 것이 좋다.,장을 담그거나 절일 때 좋다.,직사광선을 피해 그늘진 곳에서 상온에 보관한다.,
550,슈가파우더,연중제철,-20~0℃,385Kcal,디저트,,"식욕증진, 식욕촉진",포장상태를 확인하고 유통기한을 확인한다.,바로 사용 가능하다.,디저트류를 만들 때 반죽에 첨가하거나 장식용으로 사용한다.,밀봉하여 냉동 보관한다.,
551,양조간장,연중제철,,45Kcal,다시마,,콜레스테롤감소,재래간장보다 단맛이 나고 검은 것이 좋다.,바로 사용가능하다,"조림, 볶음, 국, 탕 등 간을 맞추는데 다양하게 사용할 수 있다.",직사광선을 피해 서늘한 곳에서 밀봉하여 보관한다.,
552,어묵,연중제철,0~5℃,144Kcal,꽈리고추,,"소화촉진, 콜레스테롤저하",유통기한을 확인하고 포장 안에 곰팡이가 없는지 확인하고 구매한다.,끓는 물에 데쳐 사용하거나 바로 사용한다.,볶음이나 탕으로 사용하며 이 외의 요리 속 재료로도 많이 활용 된다.,냉장/냉동보관한다,
554,청포묵,연중제철,1~5℃,33Kcal,미나리,,"성장촉진, 발육촉진",포장과 유통기한을 유의하며 구입한다.,소금을 약간 넣어 삶고 식혀서 사용한다.,"무침이나 국, 비빔밥으로 사용한다.",밀폐용기에 넣어 보관한다.,
